name,lastName,uri,imageUri,worthChange,source,industry,gender,country,timestamp,realTimeWorth,realTimeRank,realTimePosition,squareImage
Agnete Kirk Thinggaard,Thinggaard,agnete-kirk-thinggaard,no-pic-female,1.173,Lego,Manufacturing,F,Denmark,1547575201867,5085.196,336,336,//specials-images.forbesimg.com/imageserve/5a87083431358e4955ad9fd8/416x416.jpg?background=000000&cropX1=546&cropX2=1857&cropY1=0&cropY2=1312
Alberto Palatchi,Palatchi,alberto-palatchi,no-pic,0,wedding dresses,Fashion & Retail,M,Spain,1547574901334,1027.867,1966,1966,//specials-images.forbesimg.com/imageserve/5a810c2aa7ea431690133fce/416x416.jpg?background=000000&cropX1=937&cropX2=3124&cropY1=206&cropY2=2395
Alexander Otto,Otto,alexander-otto,no-pic,2.12,real estate,Real Estate,M,Germany,1547575201867,10821.927,126,126,//specials-images.forbesimg.com/imageserve/5a7e04f431358e4955ad0c06/416x416.jpg?background=000000&cropX1=126&cropX2=900&cropY1=176&cropY2=950
Alexey Repik,Repik,alexey-repik,no-pic,0,pharmaceuticals,Healthcare,M,Russia,1547574901333,2114,1092,1092,//specials-images.forbesimg.com/imageserve/5a8090244bbe6f2652f53d39/416x416.jpg?background=000000&cropX1=737&cropX2=3371&cropY1=34&cropY2=2667
Alice Schwartz,Schwartz,alice-schwartz,no-pic-female,4.56,biotech,Healthcare,F,United States,1547574901334,1025.755,1970,1970,
Amit Burman,Burman,amit-burman,amit-burman,-20.11,consumer goods,Food and Beverage,M,India,1547574901334,1360.274,1607,1607,//specials-images.forbesimg.com/imageserve/5a7f046b31358e4955ad1737/416x416.jpg?background=000000&cropX1=686&cropX2=3522&cropY1=12&cropY2=2848
Anant Asavabhokhin & family,Asavabhokhin,anant-asavabhokhin,no-pic,-0.582,real estate,Real Estate,M,Thailand,1547574901334,1294.076,1676,1676,//specials-images.forbesimg.com/imageserve/5ae0e71ca7ea43127982a6f6/416x416.jpg?background=000000&cropX1=909&cropX2=1588&cropY1=17&cropY2=696
Anastasia Soare,Soare,anastasia-soare,no-pic-female,0,cosmetics,Fashion & Retail,F,United States,1547574901334,1049,1949,1949,//specials-images.forbesimg.com/imageserve/5bbbc79c31358e4b20817639/416x416.jpg?background=000000&cropX1=502&cropX2=3158&cropY1=1769&cropY2=4427
"Andre Koo, Sr. Sr","Koo, Sr.",andre-koo-sr-sr,no-pic,21.394,financial services,Finance and Investments,M,Taiwan,1547574901334,1671.805,1336,1336,//specials-images.forbesimg.com/imageserve/5be5a708a7ea43705916933e/416x416.jpg?background=000000&cropX1=26&cropX2=3072&cropY1=7&cropY2=3055
Andrei Filatov,Filatov,andrei-filatov,andrei-filatov,0.206,"ports, railway transport",Logistics,M,Russia,1547574901334,1116.48,1879,1879,//specials-images.forbesimg.com/imageserve/5a8094b44bbe6f2652f53d5f/416x416.jpg?background=000000&cropX1=1067&cropX2=3230&cropY1=129&cropY2=2291
Andrey Andreev,Andreev,andrey-andreev,no-pic,0,online dating,Technology,M,United Kingdom,1547574901334,1539,1435,1435,//specials-images.forbesimg.com/imageserve/5a809c48a7ea431690133a7f/416x416.jpg?background=000000&cropX1=664&cropX2=2511&cropY1=81&cropY2=1927
Anton Rabie,Rabie,anton-rabie,no-pic,-19.693,toys,Manufacturing,M,Canada,1547574901334,1091.903,1909,1909,//specials-images.forbesimg.com/imageserve/5a9827414bbe6f0fa82705bd/416x416.jpg?background=000000&cropX1=0&cropX2=1200&cropY1=105&cropY2=1305
Anu Aga,Aga,anu-aga,anu-aga,-2.868,engineering,Construction & Engineering,F,India,1547574901334,1180.623,1803,1803,//specials-images.forbesimg.com/imageserve/5a7f0b2fa7ea43169013281b/416x416.jpg?background=000000&cropX1=3&cropX2=174&cropY1=2&cropY2=173
Anurang Jain,Jain,anurang-jain-1,no-pic,-13.407,auto parts,Manufacturing,M,India,1547574901334,1434.081,1546,1546,
Arvind Poddar,Poddar,arvind-poddar,no-pic,-19.178,tires,Automotive,M,India,1547574901334,1477.473,1484,1484,//specials-images.forbesimg.com/imageserve/59cc1d9b31358e542c02fcb0/416x416.jpg?background=000000&cropX1=43&cropX2=2087&cropY1=141&cropY2=2185
Ayhan Tosyali,Tosyali,ayhan-tosyali,no-pic,0,steel,Metals & Mining,M,Turkey,1547574901334,1133.189,1859,1859,
Ayman Hariri,Hariri,ayman-hariri,ayman-hariri,0,"construction, investments",Construction & Engineering,M,Lebanon,1547574901334,1332.25,1633,1633,//specials-images.forbesimg.com/imageserve/5a7fc0cca7ea4316901330fe/416x416.jpg?background=000000&cropX1=704&cropX2=2590&cropY1=767&cropY2=2654
Ba Duong Tran & family,Tran,ba-duong-tran,no-pic,0,automotive,Automotive,M,Vietnam,1547574901334,1723.313,1303,1303,
Banthoon Lamsam & family,Lamsam,banthoon-lamsam,banthoon-lamsam,2.455,banking,Finance and Investments,M,Thailand,1547574901334,1136.413,1852,1852,//specials-images.forbesimg.com/imageserve/5ad8e8bea7ea432fbc1f6f2f/416x416.jpg?background=000000&cropX1=1091&cropX2=2771&cropY1=434&cropY2=2113
Basudeo Singh,Singh,basudeo-singh,no-pic,-3.65,pharmaceuticals,Healthcare,M,India,1547574901334,1014.882,1985,1985,
Ben Ashkenazy,Ashkenazy,ben-ashkenazy,no-pic,0,real estate,Real Estate,M,United States,1547574901333,4000,499,499,//specials-images.forbesimg.com/imageserve/59ef795e4bbe6f37dda1056d/416x416.jpg?background=000000&cropX1=1613&cropX2=3298&cropY1=1291&cropY2=2975
Ben Chestnut,Chestnut,ben-chestnut,no-pic,0,email marketing,Technology,M,United States,1547574901333,2100,1095,1095,//specials-images.forbesimg.com/imageserve/5ba67ac6a7ea434e4c696dfd/416x416.jpg?background=000000&cropX1=2301&cropX2=3799&cropY1=552&cropY2=2049
Bert Beveridge,Beveridge,bert-beveridge,no-pic,0,vodka,Food and Beverage,M,United States,1547574901333,3339.579,639,639,//specials-images.forbesimg.com/imageserve/59dfbb6c4bbe6f37dda06543/416x416.jpg?background=000000&cropX1=767&cropX2=1418&cropY1=488&cropY2=1139
Bianca Rinehart,Rinehart,bianca-rinehart-1,no-pic-female,0,trust fund,Metals & Mining,F,Australia,1547574901334,1270.625,1702,1702,//specials-images.forbesimg.com/imageserve/5a7a4b8da7ea43169012d8be/416x416.jpg?background=000000&cropX1=0&cropX2=1605&cropY1=271&cropY2=1877
Bill Adderley & family,Adderley,bill-adderley,no-pic,6.599,home furnishings,Fashion & Retail,M,United Kingdom,1547574901334,1326.891,1641,1641,
Bob Gaglardi,Gaglardi,bob-gaglardi,no-pic,0,hotels,Real Estate,M,Canada,1547574901334,1988.85,1154,1154,
Boris Zingarevich,Zingarevich,boris-zingarevich,no-pic,0,"pulp and paper, diversified",Diversified,M,Russia,1547574901334,1035,1961,1961,//specials-images.forbesimg.com/imageserve/5ad8b4844bbe6f2310f30482/416x416.jpg?background=000000&cropX1=1177&cropX2=4510&cropY1=247&cropY2=3577
Bradley Jacobs,Jacobs,bradley-jacobs,no-pic,1.38,logistics,Logistics,M,United States,1547574901334,1766.269,1275,1275,//specials-images.forbesimg.com/imageserve/5a9ee3204bbe6f0fa82788fa/416x416.jpg?background=000000&cropX1=0&cropX2=1200&cropY1=23&cropY2=1224
Brett Blundy,Blundy,brett-blundy,brett-blundy,-3.607,"retail, agribusiness",Fashion & Retail,M,Australia,1547574901334,1424.686,1554,1554,//specials-images.forbesimg.com/imageserve/56a03e89e4b0ed854f529426/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=232&cropY2=976
Cai Dongchen,Cai,cai-dongchen,no-pic,43.736,pharmaceuticals,Healthcare,M,China,1547574901333,2221.431,1035,1035,//specials-images.forbesimg.com/imageserve/5bcfc8fb31358e5b43344c73/416x416.jpg?background=000000&cropX1=39&cropX2=474&cropY1=89&cropY2=524
Carolyn Rafaelian,Rafaelian,carolyn-rafaelian,carolyn-rafaelian,0,jewelry,Fashion & Retail,F,United States,1547574901334,1000,2004,2005,//specials-images.forbesimg.com/imageserve/591c59444bbe6f1b730a5366/416x416.jpg?background=000000&cropX1=408&cropX2=1184&cropY1=176&cropY2=952
Chad Richison,Richison,chad-richison,no-pic,42.581,payroll processing,Technology,M,United States,1547574901334,1140.924,1849,1849,//specials-images.forbesimg.com/imageserve/5bbbc6bc31358e4b20817602/416x416.jpg?background=000000&cropX1=0&cropX2=2048&cropY1=182&cropY2=2231
Changpeng Zhao,Zhao,changpeng-zhao,no-pic,0,cryptocurrency,Finance and Investments,M,China,1547574901334,1393,1585,1585,//specials-images.forbesimg.com/imageserve/5a7d26554bbe6f2652f51297/416x416.jpg?background=000000&cropX1=789&cropX2=3360&cropY1=97&cropY2=2670
Charles Butt & family,Butt,charles-butt,charles-butt,0,supermarkets,Fashion & Retail,M,United States,1547575201867,10700,128,128,
Charles Cadogan & family,Cadogan,charles-cadogan,no-pic,0,real estate,Real Estate,M,United Kingdom,1547575201867,7084.571,200,200,
Chee Chen Tung,Tung,chee-chen-tung,chee-chen-tung,-1.545,shipping,Logistics,M,Hong Kong,1547574901333,2242.785,1019,1019,//specials-images.forbesimg.com/imageserve/58c8649e31358e1a35ad0166/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=24&cropY2=768
Chee Hwa Tung,Tung,chee-hwa-tung,no-pic,-1.196,shipping,Logistics,M,Hong Kong,1547574901334,1735.438,1298,1298,
Chen Jinshi & family,Chen,chen-jinshi,chen-jinshi,6.993,"construction, real estate",Real Estate,M,China,1547574901334,1366.223,1603,1603,
Chen Tianqiao,Chen,chen-tianqiao,chen-tianqiao,11.098,online games,Technology,M,China,1547574901334,1168.94,1811,1811,
Cheng Cheung Ling,Cheng,cheng-cheung-ling,no-pic-female,35.64,pharmaceuticals,Healthcare,F,China,1547574901334,1945.962,1179,1179,
Cheng-ta Tsai,Tsai,cheng-ta-tsai,no-pic,-31.519,finance,Finance and Investments,M,Taiwan,1547574901333,2149.481,1071,1071,
Cheng Wei,Cheng,cheng-wei,cheng-wei,0,ride-hailing service,Service,M,China,1547574901334,1200,1778,1778,//specials-images.forbesimg.com/imageserve/59162c8931358e03e5590c24/416x416.jpg?background=000000&cropX1=1046&cropX2=3177&cropY1=126&cropY2=2256
Chris Larsen,Larsen,chris-larsen,no-pic,0,cryptocurrency,Finance and Investments,M,United States,1547574901333,2091.9,1105,1105,//specials-images.forbesimg.com/imageserve/5b9fb5e531358e5690cd26ce/416x416.jpg?background=000000&cropX1=1216&cropX2=4560&cropY1=384&cropY2=3725
Chris Wanstrath,Wanstrath,chris-wanstrath,chris-wanstrath,0,collaborative software,Technology,M,United States,1547574901334,1400,1575,1576,//specials-images.forbesimg.com/imageserve/564a5703e4b0ffa7afe73337/416x416.jpg?background=000000&cropX1=122&cropX2=632&cropY1=29&cropY2=540
Chuchat & Daonapa Petaumpai,Petaumpai,chuchat-daonapa-petaumpai,chuchat-daonapa-petaumpai,-90.085,motorcycle loans,Finance and Investments,,Thailand,1547574901333,2237.631,1020,1020,//specials-images.forbesimg.com/imageserve/592d7a004bbe6f1b730adefd/416x416.jpg?background=000000&cropX1=64&cropX2=354&cropY1=50&cropY2=340
Chuck Bundrant,Bundrant,chuck-bundrant,no-pic,0,fishing,Food and Beverage,M,United States,1547574901333,2333.59,969,969,//specials-images.forbesimg.com/imageserve/5ba657f04bbe6f79516f6aa9/416x416.jpg?background=000000&cropX1=980&cropX2=2262&cropY1=654&cropY2=1936
Craig Newmark,Newmark,craig-newmark,no-pic,0,Craigslist,Technology,M,United States,1547574901334,1605.9,1390,1390,//specials-images.forbesimg.com/imageserve/59079b82a7ea437ada26cf0a/416x416.jpg?background=000000&cropX1=0&cropX2=2148&cropY1=201&cropY2=2348
Dan Kurzius,Kurzius,dan-kurzius,no-pic,0,email marketing,Technology,M,United States,1547574901333,2100,1095,1096,
Dang Yanbao,Dang,dang-yanbao,no-pic,0,coal,Metals & Mining,M,China,1547574901334,1155.727,1823,1823,//specials-images.forbesimg.com/imageserve/5a8df6ed31358e4955adff90/416x416.jpg?background=000000&cropX1=548&cropX2=1940&cropY1=74&cropY2=1466
Daniel Ek,Ek,daniel-ek,daniel-ek,64.384,Spotify,Technology,M,Sweden,1547574901333,2151.51,1070,1070,http://specials-images.forbesimg.com/imageserve/57056521e4b0fd7369a3e12a/416x416.jpg?background=000000&cropX1=85&cropX2=691&cropY1=29&cropY2=635
David Hall,Hall,david-hall,no-pic,0,automotive technology,Automotive,M,United States,1547574901334,1000,2004,2006,
David Paul,Paul,david-paul,no-pic,13.169,medical devices,Healthcare,M,United States,1547574901334,1102.896,1894,1894,
David Steward,Steward,david-steward,no-pic,0,IT provider,Technology,M,United States,1547574901333,3370,632,632,//specials-images.forbesimg.com/imageserve/5ba5544a31358e5690cdb64d/416x416.jpg?background=000000&cropX1=189&cropX2=1732&cropY1=7&cropY2=1551
David Zalik,Zalik,david-zalik,no-pic,21,financial technology,Technology,M,United States,1547574901334,1863.75,1220,1220,//specials-images.forbesimg.com/imageserve/59e786c6a7ea436b47b40253/416x416.jpg?background=000000&cropX1=1071&cropX2=2905&cropY1=1106&cropY2=2941
Dennis Gillings,Gillings,dennis-gillings,no-pic,3.306,drug testing,Healthcare,M,United Kingdom,1547574901334,1623.479,1377,1377,
Dik Wessels,Wessels,dik-wessels,no-pic,0,"construction, engineering",Construction & Engineering,M,Netherlands,1547574901333,2264.941,1008,1008,
Don Vultaggio & family,Vultaggio,don-vultaggio,no-pic,0,AriZona Beverages,Food and Beverage,M,United States,1547574901333,3089.786,701,701,//specials-images.forbesimg.com/imageserve/59dd43c04bbe6f37dda04a43/416x416.jpg?background=000000&cropX1=2035&cropX2=2775&cropY1=2370&cropY2=3111
Donald Foss,Foss,donald-foss,no-pic,-21.547,auto loans,Automotive,M,United States,1547574901334,1348.978,1620,1620,
Donald Horton,Horton,donald-horton,no-pic,11.615,homebuilding,Real Estate,M,United States,1547574901334,1034.112,1964,1964,//specials-images.forbesimg.com/imageserve/5bbbc8f64bbe6f67d2e8d92f/416x416.jpg?background=000000&cropX1=0&cropX2=3000&cropY1=300&cropY2=3302
Dong Wei,Dong,dong-wei-2,no-pic,77.216,pharmaceuticals,Healthcare,M,China,1547574901333,2071.319,1116,1116,
Douglas Hsu,Hsu,douglas-hsu,douglas-hsu,9.565,diversified,Diversified,M,Taiwan,1547574901334,1623.979,1376,1376,//specials-images.forbesimg.com/imageserve/5be5a5114bbe6f78bda77cc6/416x416.jpg?background=000000&cropX1=397&cropX2=1199&cropY1=66&cropY2=869
Du Weimin,Du,du-weimin,no-pic,9.312,vaccines,Healthcare,M,China,1547574901334,1440.128,1538,1538,
Eduard Chukhlebov,Chukhlebov,eduard-chukhlebov,no-pic,0,metallurgy,Metals & Mining,M,Russia,1547574901334,1035.179,1959,1959,
Edward Johnson IV,Johnson,edward-johnson-iv,no-pic,0,money management,Finance and Investments,M,United States,1547574901333,3303.179,650,650,
Eiichi Kuriwada,Kuriwada,eiichi-kuriwada,no-pic,3.723,package delivery,Logistics,M,Japan,1547574901334,1647.582,1361,1361,//specials-images.forbesimg.com/imageserve/5ac257b7a7ea432fbc1dc9b6/416x416.jpg?background=000000&cropX1=2457&cropX2=3971&cropY1=691&cropY2=2204
Elie Horn,Horn,elie-horn,elie-horn,-11.135,real estate,Real Estate,M,Brazil,1547574901334,1014.08,1986,1986,//specials-images.forbesimg.com/imageserve/0557a8ea2c33392fcfe0f04570cba9a3/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=108&cropY2=852
Elisabeth Badinter & family,Badinter,elisabeth-badinter,elisabeth-badinter,-3.518,advertising,Media & Entertainment,F,France,1547574901334,1298.221,1673,1673,
Elizabeth Johnson,Johnson,elizabeth-johnson,no-pic-female,0,money management,Finance and Investments,F,United States,1547574901333,3303.179,650,651,
Eren Ozmen,Ozmen,eren-ozmen,eren-ozmen,0,aerospace,Manufacturing,F,United States,1547574901334,1300,1669,1670,//specials-images.forbesimg.com/imageserve/5a9f20b331358e79a28b2d5f/416x416.jpg?background=000000&cropX1=0&cropX2=2472&cropY1=168&cropY2=2638
Ernest Garcia II,Garcia,ernest-garcia-ii,no-pic,-27.284,used cars,Automotive,M,United States,1547574901333,3376.616,630,630,//specials-images.forbesimg.com/imageserve/5ba3dab8a7ea434e4c693d17/416x416.jpg?background=000000&cropX1=263&cropX2=600&cropY1=192&cropY2=529
Fahd Hariri,Hariri,fahd-hariri,fahd-hariri,0,"construction, investments",Construction & Engineering,M,Lebanon,1547574901334,1263.055,1711,1711,//specials-images.forbesimg.com/imageserve/5a7fc1714bbe6f2652f53601/416x416.jpg?background=000000&cropX1=72&cropX2=1140&cropY1=13&cropY2=1082
Fan Hongwei & family,Fan,fan-hongwei,no-pic-female,-19.159,petrochemicals,Energy,F,China,1547574901333,4302.124,438,438,
Fatih Ozmen,Ozmen,fatih-ozmen,no-pic,0,aerospace,Manufacturing,M,United States,1547574901334,1302,1666,1666,//specials-images.forbesimg.com/imageserve/5a9f218d31358e79a28b2d7f/416x416.jpg?background=000000&cropX1=0&cropX2=2472&cropY1=89&cropY2=2559
Fatih Tosyali,Tosyali,fatih-tosyali,no-pic,0,steel,Metals & Mining,M,Turkey,1547574901334,1133.189,1859,1860,
Francis Holder,Holder,francis-holder,no-pic,0,bakeries,Food and Beverage,M,France,1547574901334,1132.638,1861,1861,//specials-images.forbesimg.com/imageserve/5a7dedf131358e4955ad0a2e/416x416.jpg?background=000000&cropX1=126&cropX2=1289&cropY1=146&cropY2=1309
Francisco Jose Riberas Mera,Riberas Mera,francisco-jose-riberas-mera,no-pic,10.154,"steel, autoparts",Manufacturing,M,Spain,1547574901334,1626.448,1372,1372,//specials-images.forbesimg.com/imageserve/5a810f404bbe6f2652f544b8/416x416.jpg?background=000000&cropX1=48&cropX2=1351&cropY1=340&cropY2=1642
Francois Feuillet,Feuillet,francois-feuillet,no-pic,-23.715,"motorhomes, RVs",Automotive,M,France,1547574901334,1002.431,2002,2002,//specials-images.forbesimg.com/imageserve/5a7deeb3a7ea431690131b81/416x416.jpg?background=000000&cropX1=551&cropX2=1315&cropY1=491&cropY2=1255
Francoise Bettencourt Meyers & family,Bettencourt Meyers,francoise-bettencourt-meyers,no-pic-female,212.963,L'Oreal,Fashion & Retail,F,France,1547575201866,44763.113,18,18,//specials-images.forbesimg.com/imageserve/5a7def7631358e4955ad0a53/416x416.jpg?background=000000&cropX1=192&cropX2=973&cropY1=69&cropY2=849
Frank Laukien,Laukien,frank-laukien,no-pic,25.487,scientific equipment,Manufacturing,M,United States,1547574901334,1185.041,1796,1796,
Frank Otto,Otto,frank-otto,no-pic,0,retail,Fashion & Retail,M,Germany,1547574901334,1019.784,1981,1981,
Frank VanderSloot,VanderSloot,frank-vandersloot,no-pic,0,"nutrition, wellness products",Fashion & Retail,M,United States,1547574901333,4252.201,447,447,//specials-images.forbesimg.com/imageserve/5b06f4904bbe6f74868a643b/416x416.jpg?background=000000&cropX1=780&cropX2=2482&cropY1=549&cropY2=2250
Frederic Luddy,Luddy,frederic-luddy,no-pic,1.906,software,Technology,M,United States,1547574901334,1016.005,1983,1983,//specials-images.forbesimg.com/imageserve/5b0ebc31a7ea436b547ec18d/416x416.jpg?background=000000&cropX1=394&cropX2=3951&cropY1=1397&cropY2=4954
Fuat Tosyali,Tosyali,fuat-tosyali,no-pic,0,steel,Metals & Mining,M,Turkey,1547574901334,1233.189,1742,1742,
Gabriele Volkmann,Volkmann,gabriele-volkmann,no-pic-female,0,auto parts,Automotive,F,Germany,1547574901333,2020.311,1137,1137,
Gabriella Meister & family,Meister,gabriella-meister,no-pic-female,172.455,appliances,Manufacturing,F,Germany,1547574901333,4755.21,383,383,
Gayle Benson,Benson,gayle-benson,no-pic-female,0,pro sports teams,Sports,F,United States,1547574901333,2755,796,796,//specials-images.forbesimg.com/imageserve/5ba578164bbe6f79516f65a4/416x416.jpg?background=000000&cropX1=1352&cropX2=3582&cropY1=225&cropY2=2455
George Yancopoulos,Yancopoulos,george-yancopoulos,george-yancopoulos,-4.974,pharmaceuticals,Healthcare,M,United States,1547574901334,1022.097,1974,1974,//specials-images.forbesimg.com/imageserve/5b3a90d24bbe6f604389c909/416x416.jpg?background=000000&cropX1=1821&cropX2=3680&cropY1=1511&cropY2=3369
Ginia Rinehart,Rinehart,ginia-rinehart,no-pic-female,0,trust fund,Metals & Mining,F,Australia,1547574901334,1281.432,1688,1688,//specials-images.forbesimg.com/imageserve/5a7a536931358e4955acc865/416x416.jpg?background=000000&cropX1=1187&cropX2=2359&cropY1=97&cropY2=1269
Giovanni Ferrero,Ferrero,giovanni-ferrero,no-pic,0,"Nutella, chocolates",Food and Beverage,M,Italy,1547575201866,22673.165,38,38,//specials-images.forbesimg.com/imageserve/5b11bc5ca7ea436b547f29cb/416x416.jpg?background=000000&cropX1=96&cropX2=2386&cropY1=345&cropY2=2634
Gretel Packer,Packer,gretel-packer,gretel-packer,1.411,casinos,Media & Entertainment,F,Australia,1547574901334,1642.729,1364,1364,//specials-images.forbesimg.com/imageserve/5a7a53f731358e4955acc87a/416x416.jpg?background=000000&cropX1=87&cropX2=946&cropY1=111&cropY2=970
Hemendra Kothari,Kothari,hemendra-kothari,hemendra-kothari,0,Financial Services,Finance and Investments,M,India,1547574901334,1112.968,1883,1883,//specials-images.forbesimg.com/imageserve/5a7f246431358e4955ad18c8/416x416.jpg?background=000000&cropX1=1726&cropX2=2644&cropY1=453&cropY2=1370
Henry Cheng,Cheng,henry-cheng-1,no-pic,3.542,property,Diversified,M,Hong Kong,1547574901334,1334.282,1630,1630,//specials-images.forbesimg.com/imageserve/5a7e6af931358e4955ad1467/416x416.jpg?background=000000&cropX1=172&cropX2=639&cropY1=1&cropY2=469
Henry Davis,Davis,henry-davis,no-pic,0,beef processing,Food and Beverage,M,United States,1547574901334,1300,1669,1671,
Henry Laufer,Laufer,henry-laufer,no-pic,0,hedge funds,Finance and Investments,M,United States,1547574901333,2000,1141,1142,
Hiroshi Ishibashi,Ishibashi,hiroshi-ishibashi,hiroshi-ishibashi,14.014,tires,Automotive,M,Japan,1547574901334,1039.522,1955,1955,//specials-images.forbesimg.com/imageserve/2991e29c85e606372b26ff25898bbb8f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=90&cropY2=834
Hong-tu Tsai,Tsai,hong-tu-tsai,hong-tu-tsai,-31.604,finance,Finance and Investments,M,Taiwan,1547574901333,2270.784,1004,1004,//specials-images.forbesimg.com/imageserve/96ab806e62d36200e114de66f99c0377/416x416.jpg?background=000000&cropX1=0&cropX2=559&cropY1=1&cropY2=560
Hope Welker,Welker,hope-welker,no-pic-female,0,trust fund,Metals & Mining,F,Australia,1547574901334,1270.625,1702,1703,
Hu Keqin & family,Hu,hu-keqin,no-pic,0,chemicals,Diversified,M,China,1547574901334,1238.236,1740,1740,//specials-images.forbesimg.com/imageserve/589cfe944bbe6f0e55866af7/416x416.jpg?background=000000&cropX1=111&cropX2=591&cropY1=276&cropY2=756
Huang Shilin,Huang,huang-shilin,no-pic,49.802,batteries,Energy,M,China,1547574901333,3238.519,669,669,
Huang Xiaofen & family,Huang,huang-xiaofen,no-pic-female,14.846,printed circuit boards,Technology,F,China,1547574901334,1095.675,1903,1903,
Igor Kudryashkin,Kudryashkin,igor-kudryashkin,no-pic,0,metallurgy,Metals & Mining,M,Russia,1547574901334,1035.179,1959,1960,
Igor Rotenberg,Rotenberg,igor-rotenberg,no-pic,0,"construction, real estate",Diversified,M,Russia,1547574901334,1053.363,1947,1947,
Igor Rybakov,Rybakov,igor-rybakov,no-pic,0,building materials,Manufacturing,M,Russia,1547574901334,1306.311,1661,1661,//specials-images.forbesimg.com/imageserve/5a80a91631358e4955ad2b41/416x416.jpg?background=000000&cropX1=65&cropX2=2805&cropY1=18&cropY2=2757
Ivan Savvidis,Savvidis,ivan-savvidis,no-pic,0,agribusiness,Diversified,M,Russia,1547574901334,1870.253,1212,1212,//specials-images.forbesimg.com/imageserve/5ad8b612a7ea432fbc1f6592/416x416.jpg?background=000000&cropX1=939&cropX2=2720&cropY1=204&cropY2=1986
Ivar Tollefsen,Tollefsen,ivar-tollefsen,no-pic,0,Real estate,Real Estate,M,Norway,1547574901334,1141.659,1847,1847,
J. Hyatt Brown,Brown,j-hyatt-brown,no-pic,-0.839,insurance,Finance and Investments,M,United States,1547574901334,1203.778,1767,1767,
Jack Cockwell,Cockwell,jack-cockwell,no-pic,0.089,"Real Estate, Private Equity",Finance and Investments,M,Canada,1547574901334,1046.117,1951,1951,//specials-images.forbesimg.com/imageserve/5a7bad2b31358e4955ace1c2/416x416.jpg?background=000000&cropX1=776&cropX2=1727&cropY1=390&cropY2=1342
James Duff,Duff,james-duff,no-pic,0,"tires, diversified",,M,United States,1547574901334,1182.7,1800,1800,//specials-images.forbesimg.com/imageserve/5af9d22331358e612fb8f357/416x416.jpg?background=000000&cropX1=2&cropX2=999&cropY1=82&cropY2=1079
James Truchard,Truchard,james-truchard,no-pic,0.571,software,Technology,M,United States,1547574901334,1085.109,1916,1916,//specials-images.forbesimg.com/imageserve/5a90a9434bbe6f0fa8266b0b/416x416.jpg?background=000000&cropX1=0&cropX2=1500&cropY1=54&cropY2=1554
Jayshree Ullal,Ullal,jayshree-ullal,jayshree-ullal,24.889,computer networking,Technology,F,United States,1547574901334,1150.098,1832,1832,//specials-images.forbesimg.com/imageserve/5554cad4e4b0bacdbd75184a/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=119&cropY2=863
Jean Burelle,Burelle,jean-burelle,jean-burelle,-7.973,automotive systems,Automotive,M,France,1547574901334,1120.218,1876,1876,
Jeffrey Cheah,Cheah,jeffrey-cheah,jeffrey-cheah,0.255,property,Real Estate,M,Malaysia,1547574901334,1116.922,1878,1878,//specials-images.forbesimg.com/imageserve/e727535940097f26824747f5e1551e37/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=2&cropY2=746
Jenny Lindén Urnes,Lindén Urnes,jenny-linden-urnes,no-pic-female,0,powdered metal,Manufacturing,F,Sweden,1547574901334,1012.632,1990,1990,
Jerry Moyes,Moyes,jerry-moyes,no-pic,-2.194,transportation,Logistics,M,United States,1547574901334,1159.485,1819,1819,//specials-images.forbesimg.com/imageserve/5a90819c31358e79a28a1d46/416x416.jpg?background=000000&cropX1=717&cropX2=2028&cropY1=135&cropY2=1446
Jerzy Starak,Starak,jerzy-starak,no-pic,-0.776,pharmaceuticals,Healthcare,M,Poland,1547574901334,1253.576,1724,1724,//specials-images.forbesimg.com/imageserve/5a8715d131358e4955ada12a/416x416.jpg?background=000000&cropX1=125&cropX2=1118&cropY1=139&cropY2=1133
Jim Kavanaugh,Kavanaugh,jim-kavanaugh,no-pic,0,IT provider,Technology,M,United States,1547574901333,2065,1119,1119,//specials-images.forbesimg.com/imageserve/5bbbc451a7ea4342a949d23b/416x416.jpg?background=000000&cropX1=42&cropX2=3312&cropY1=427&cropY2=3695
Jim Koch,Koch,jim-koch,jim-koch,6.506,beer,Food and Beverage,M,United States,1547574901334,1020.119,1979,1979,
Jimmy John Liautaud,Liautaud,jimmy-john-liautaud,no-pic,0,sandwich chain,Food and Beverage,M,United States,1547574901334,1700,1318,1318,//specials-images.forbesimg.com/imageserve/5bbf9b084bbe6f5889fca77a/416x416.jpg?background=000000&cropX1=995&cropX2=4824&cropY1=266&cropY2=4091
John Armitage,Armitage,john-armitage,no-pic,0,hedge funds,Finance and Investments,M,Ireland,1547574901334,1400,1575,1577,
John Goff,Goff,john-goff,no-pic,1.049,real estate,,M,United States,1547574901334,1024.898,1971,1971,//specials-images.forbesimg.com/imageserve/5bbbca304bbe6f67d2e8d975/416x416.jpg?background=000000&cropX1=2398&cropX2=4138&cropY1=1287&cropY2=3028
